Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.217,0.265
custom|arc:easy|0,0.52,0.489
custom|commonsense_qa|0,0.268,0.282
custom|hellaswag|0,0.301,0.325
custom|mmlu:abstract_algebra|0,0.15,0.16
custom|mmlu:anatomy|0,0.2962962962962963,0.3037037037037037
custom|mmlu:astronomy|0,0.2894736842105263,0.32894736842105265
custom|mmlu:business_ethics|0,0.44,0.37
custom|mmlu:clinical_knowledge|0,0.23018867924528302,0.32075471698113206
custom|mmlu:college_biology|0,0.3402777777777778,0.2986111111111111
custom|mmlu:college_chemistry|0,0.18,0.23
custom|mmlu:college_computer_science|0,0.24,0.3
custom|mmlu:college_mathematics|0,0.16,0.19
custom|mmlu:college_medicine|0,0.27167630057803466,0.21965317919075145
custom|mmlu:college_physics|0,0.19607843137254902,0.20588235294117646
custom|mmlu:computer_security|0,0.25,0.3
custom|mmlu:conceptual_physics|0,0.3021276595744681,0.2170212765957447
custom|mmlu:econometrics|0,0.19298245614035087,0.22807017543859648
custom|mmlu:electrical_engineering|0,0.2482758620689655,0.27586206896551724
custom|mmlu:elementary_mathematics|0,0.2328042328042328,0.23544973544973544
custom|mmlu:formal_logic|0,0.2619047619047619,0.23015873015873015
custom|mmlu:global_facts|0,0.27,0.27
custom|mmlu:high_school_biology|0,0.29354838709677417,0.32903225806451614
custom|mmlu:high_school_chemistry|0,0.18226600985221675,0.22660098522167488
custom|mmlu:high_school_computer_science|0,0.2,0.3
custom|mmlu:high_school_european_history|0,0.2606060606060606,0.36363636363636365
custom|mmlu:high_school_geography|0,0.31313131313131315,0.35353535353535354
custom|mmlu:high_school_government_and_politics|0,0.3005181347150259,0.33678756476683935
custom|mmlu:high_school_macroeconomics|0,0.26153846153846155,0.28974358974358977
custom|mmlu:high_school_mathematics|0,0.14814814814814814,0.23333333333333334
custom|mmlu:high_school_microeconomics|0,0.24789915966386555,0.33613445378151263
custom|mmlu:high_school_physics|0,0.31125827814569534,0.304635761589404
custom|mmlu:high_school_psychology|0,0.3522935779816514,0.3339449541284404
custom|mmlu:high_school_statistics|0,0.27314814814814814,0.30092592592592593
custom|mmlu:high_school_us_history|0,0.29411764705882354,0.3284313725490196
custom|mmlu:high_school_world_history|0,0.270042194092827,0.25738396624472576
custom|mmlu:human_aging|0,0.35874439461883406,0.2600896860986547
custom|mmlu:human_sexuality|0,0.366412213740458,0.3511450381679389
custom|mmlu:international_law|0,0.1487603305785124,0.256198347107438
custom|mmlu:jurisprudence|0,0.19444444444444445,0.3148148148148148
custom|mmlu:logical_fallacies|0,0.24539877300613497,0.3128834355828221
custom|mmlu:machine_learning|0,0.3125,0.24107142857142858
custom|mmlu:management|0,0.2621359223300971,0.33980582524271846
custom|mmlu:marketing|0,0.33760683760683763,0.3504273504273504
custom|mmlu:medical_genetics|0,0.24,0.32
custom|mmlu:miscellaneous|0,0.3243933588761175,0.3103448275862069
custom|mmlu:moral_disputes|0,0.23699421965317918,0.20520231213872833
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.2759776536312849
custom|mmlu:nutrition|0,0.26143790849673204,0.31699346405228757
custom|mmlu:philosophy|0,0.27009646302250806,0.29260450160771706
custom|mmlu:prehistory|0,0.3425925925925926,0.25
custom|mmlu:professional_accounting|0,0.2907801418439716,0.25177304964539005
custom|mmlu:professional_law|0,0.24,0.261
custom|mmlu:professional_medicine|0,0.2977941176470588,0.3235294117647059
custom|mmlu:professional_psychology|0,0.2679738562091503,0.272875816993464
custom|mmlu:public_relations|0,0.3,0.2545454545454545
custom|mmlu:security_studies|0,0.30612244897959184,0.2653061224489796
custom|mmlu:sociology|0,0.22885572139303484,0.208955223880597
custom|mmlu:us_foreign_policy|0,0.31,0.26
custom|mmlu:virology|0,0.2469879518072289,0.3072289156626506
custom|mmlu:world_religions|0,0.2046783625730994,0.3157894736842105
custom|openbookqa|0,0.188,0.304
custom|piqa|0,0.634,0.639
custom|siqa|0,0.367,0.399
custom|winogrande|0,0.506,0.508
custom|arc:_average|0,0.3685,0.377
custom|mmlu:_average|0,0.26479474646293844,0.2824000430725052
all,0.27837385459057673,0.2970431146943507
